ID,Category,Title,Learning_Objective,Suggested_Activity,Code_Template,Source,Difficulty,Estimated_Time_Min
38,Self-Advocacy: Daily Life,Self-Advocacy: Daily Life — Lesson 2,"Learn/apply: Scripts for drivers, friends, new acquaintances; low-stress requests; boundaries.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",telegram_bot.py,Self_Advocacy_Scripts_Daily.docx,Medium,20
39,Self-Advocacy: Daily Life,Self-Advocacy: Daily Life — Lesson 3,"Learn/apply: Scripts for drivers, friends, new acquaintances; low-stress requests; boundaries.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",daily_digest.py,Self_Advocacy_Scripts_Daily.docx,Hard,25
40,Self-Advocacy: Daily Life,Self-Advocacy: Daily Life — Lesson 4,"Learn/apply: Scripts for drivers, friends, new acquaintances; low-stress requests; boundaries.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",quiz_cli.py,Self_Advocacy_Scripts_Daily.docx,Easy,5
41,Self-Advocacy: Daily Life,Self-Advocacy: Daily Life — Lesson 5,"Learn/apply: Scripts for drivers, friends, new acquaintances; low-stress requests; boundaries.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",spaced_repetition.py,Self_Advocacy_Scripts_Daily.docx,Medium,10
42,Self-Advocacy: Daily Life,Self-Advocacy: Daily Life — Lesson 6,"Learn/apply: Scripts for drivers, friends, new acquaintances; low-stress requests; boundaries.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",habit_tracker.py,Self_Advocacy_Scripts_Daily.docx,Medium,15
43,Self-Advocacy: Daily Life,Self-Advocacy: Daily Life — Lesson 7,"Learn/apply: Scripts for drivers, friends, new acquaintances; low-stress requests; boundaries.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",symptom_tracker_flask.py,Self_Advocacy_Scripts_Daily.docx,Hard,20
44,Self-Advocacy: Daily Life,Self-Advocacy: Daily Life — Lesson 8,"Learn/apply: Scripts for drivers, friends, new acquaintances; low-stress requests; boundaries.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",sms_reminder.py,Self_Advocacy_Scripts_Daily.docx,Easy,25
45,Self-Advocacy: Daily Life,Self-Advocacy: Daily Life — Lesson 9,"Learn/apply: Scripts for drivers, friends, new acquaintances; low-stress requests; boundaries.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",notion_sync_stub.py,Self_Advocacy_Scripts_Daily.docx,Medium,5
46,Self-Advocacy: Daily Life,Self-Advocacy: Daily Life — Lesson 10,"Learn/apply: Scripts for drivers, friends, new acquaintances; low-stress requests; boundaries.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",google_sheets_export.py,Self_Advocacy_Scripts_Daily.docx,Medium,10
47,Self-Advocacy: Daily Life,Self-Advocacy: Daily Life — Lesson 11,"Learn/apply: Scripts for drivers, friends, new acquaintances; low-stress requests; boundaries.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",progress_chart.py,Self_Advocacy_Scripts_Daily.docx,Hard,15
48,Self-Advocacy: Daily Life,Self-Advocacy: Daily Life — Lesson 12,"Learn/apply: Scripts for drivers, friends, new acquaintances; low-stress requests; boundaries.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",telegram_bot.py,Self_Advocacy_Scripts_Daily.docx,Easy,20
49,Self-Advocacy: Community,Self-Advocacy: Community — Lesson 1,Learn/apply: Scripts for activism groups and new partners; access and consent.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",daily_digest.py,Self_Advocacy_Scripts_Community.docx,Medium,25
50,Self-Advocacy: Community,Self-Advocacy: Community — Lesson 2,Learn/apply: Scripts for activism groups and new partners; access and consent.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",quiz_cli.py,Self_Advocacy_Scripts_Community.docx,Medium,5
51,Self-Advocacy: Community,Self-Advocacy: Community — Lesson 3,Learn/apply: Scripts for activism groups and new partners; access and consent.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",spaced_repetition.py,Self_Advocacy_Scripts_Community.docx,Hard,10
52,Self-Advocacy: Community,Self-Advocacy: Community — Lesson 4,Learn/apply: Scripts for activism groups and new partners; access and consent.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",habit_tracker.py,Self_Advocacy_Scripts_Community.docx,Easy,15
53,Self-Advocacy: Community,Self-Advocacy: Community — Lesson 5,Learn/apply: Scripts for activism groups and new partners; access and consent.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",symptom_tracker_flask.py,Self_Advocacy_Scripts_Community.docx,Medium,20
54,Self-Advocacy: Community,Self-Advocacy: Community — Lesson 6,Learn/apply: Scripts for activism groups and new partners; access and consent.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",sms_reminder.py,Self_Advocacy_Scripts_Community.docx,Medium,25
55,Self-Advocacy: Community,Self-Advocacy: Community — Lesson 7,Learn/apply: Scripts for activism groups and new partners; access and consent.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",notion_sync_stub.py,Self_Advocacy_Scripts_Community.docx,Hard,5
56,Self-Advocacy: Community,Self-Advocacy: Community — Lesson 8,Learn/apply: Scripts for activism groups and new partners; access and consent.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",google_sheets_export.py,Self_Advocacy_Scripts_Community.docx,Easy,10
57,Self-Advocacy: Community,Self-Advocacy: Community — Lesson 9,Learn/apply: Scripts for activism groups and new partners; access and consent.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",progress_chart.py,Self_Advocacy_Scripts_Community.docx,Medium,15
58,Self-Advocacy: Community,Self-Advocacy: Community — Lesson 10,Learn/apply: Scripts for activism groups and new partners; access and consent.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",telegram_bot.py,Self_Advocacy_Scripts_Community.docx,Medium,20
59,Self-Advocacy: Community,Self-Advocacy: Community — Lesson 11,Learn/apply: Scripts for activism groups and new partners; access and consent.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",daily_digest.py,Self_Advocacy_Scripts_Community.docx,Hard,25
60,Self-Advocacy: Community,Self-Advocacy: Community — Lesson 12,Learn/apply: Scripts for activism groups and new partners; access and consent.,"Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",quiz_cli.py,Self_Advocacy_Scripts_Community.docx,Easy,5
61,Support: Partners (Da’Veon & Quincy),Support: Partners (Da’Veon & Quincy) — Lesson 1,"Learn/apply: Emotional care, medical support, relationship balance, fun, partner notes.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",spaced_repetition.py,Support_Me_Handbook.docx,Medium,10
62,Support: Partners (Da’Veon & Quincy),Support: Partners (Da’Veon & Quincy) — Lesson 2,"Learn/apply: Emotional care, medical support, relationship balance, fun, partner notes.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",habit_tracker.py,Support_Me_Handbook.docx,Medium,15
63,Support: Partners (Da’Veon & Quincy),Support: Partners (Da’Veon & Quincy) — Lesson 3,"Learn/apply: Emotional care, medical support, relationship balance, fun, partner notes.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",symptom_tracker_flask.py,Support_Me_Handbook.docx,Hard,20
64,Support: Partners (Da’Veon & Quincy),Support: Partners (Da’Veon & Quincy) — Lesson 4,"Learn/apply: Emotional care, medical support, relationship balance, fun, partner notes.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",sms_reminder.py,Support_Me_Handbook.docx,Easy,25
65,Support: Partners (Da’Veon & Quincy),Support: Partners (Da’Veon & Quincy) — Lesson 5,"Learn/apply: Emotional care, medical support, relationship balance, fun, partner notes.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",notion_sync_stub.py,Support_Me_Handbook.docx,Medium,5
66,Support: Partners (Da’Veon & Quincy),Support: Partners (Da’Veon & Quincy) — Lesson 6,"Learn/apply: Emotional care, medical support, relationship balance, fun, partner notes.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",google_sheets_export.py,Support_Me_Handbook.docx,Medium,10
67,Support: Partners (Da’Veon & Quincy),Support: Partners (Da’Veon & Quincy) — Lesson 7,"Learn/apply: Emotional care, medical support, relationship balance, fun, partner notes.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",progress_chart.py,Support_Me_Handbook.docx,Hard,15
68,Support: Partners (Da’Veon & Quincy),Support: Partners (Da’Veon & Quincy) — Lesson 8,"Learn/apply: Emotional care, medical support, relationship balance, fun, partner notes.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",telegram_bot.py,Support_Me_Handbook.docx,Easy,20
69,Support: Partners (Da’Veon & Quincy),Support: Partners (Da’Veon & Quincy) — Lesson 9,"Learn/apply: Emotional care, medical support, relationship balance, fun, partner notes.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",daily_digest.py,Support_Me_Handbook.docx,Medium,25
70,Support: Partners (Da’Veon & Quincy),Support: Partners (Da’Veon & Quincy) — Lesson 10,"Learn/apply: Emotional care, medical support, relationship balance, fun, partner notes.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",quiz_cli.py,Support_Me_Handbook.docx,Medium,5
71,Support: Partners (Da’Veon & Quincy),Support: Partners (Da’Veon & Quincy) — Lesson 11,"Learn/apply: Emotional care, medical support, relationship balance, fun, partner notes.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",spaced_repetition.py,Support_Me_Handbook.docx,Hard,10
72,Support: Partners (Da’Veon & Quincy),Support: Partners (Da’Veon & Quincy) — Lesson 12,"Learn/apply: Emotional care, medical support, relationship balance, fun, partner notes.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",habit_tracker.py,Support_Me_Handbook.docx,Easy,15
73,Support: Da’Veon,Support: Da’Veon — Lesson 1,"Learn/apply: Appointment support, grounding, fatherhood balance, joy & play.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",symptom_tracker_flask.py,Support_Me_Handbook_DaVeon.docx,Medium,20
74,Support: Da’Veon,Support: Da’Veon — Lesson 2,"Learn/apply: Appointment support, grounding, fatherhood balance, joy & play.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",sms_reminder.py,Support_Me_Handbook_DaVeon.docx,Medium,25
75,Support: Da’Veon,Support: Da’Veon — Lesson 3,"Learn/apply: Appointment support, grounding, fatherhood balance, joy & play.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",notion_sync_stub.py,Support_Me_Handbook_DaVeon.docx,Hard,5
76,Support: Da’Veon,Support: Da’Veon — Lesson 4,"Learn/apply: Appointment support, grounding, fatherhood balance, joy & play.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",google_sheets_export.py,Support_Me_Handbook_DaVeon.docx,Easy,10
77,Support: Da’Veon,Support: Da’Veon — Lesson 5,"Learn/apply: Appointment support, grounding, fatherhood balance, joy & play.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",progress_chart.py,Support_Me_Handbook_DaVeon.docx,Medium,15
78,Support: Da’Veon,Support: Da’Veon — Lesson 6,"Learn/apply: Appointment support, grounding, fatherhood balance, joy & play.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",telegram_bot.py,Support_Me_Handbook_DaVeon.docx,Medium,20
79,Support: Da’Veon,Support: Da’Veon — Lesson 7,"Learn/apply: Appointment support, grounding, fatherhood balance, joy & play.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",daily_digest.py,Support_Me_Handbook_DaVeon.docx,Hard,25
80,Support: Da’Veon,Support: Da’Veon — Lesson 8,"Learn/apply: Appointment support, grounding, fatherhood balance, joy & play.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",quiz_cli.py,Support_Me_Handbook_DaVeon.docx,Easy,5
81,Support: Da’Veon,Support: Da’Veon — Lesson 9,"Learn/apply: Appointment support, grounding, fatherhood balance, joy & play.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",spaced_repetition.py,Support_Me_Handbook_DaVeon.docx,Medium,10
82,Support: Da’Veon,Support: Da’Veon — Lesson 10,"Learn/apply: Appointment support, grounding, fatherhood balance, joy & play.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",habit_tracker.py,Support_Me_Handbook_DaVeon.docx,Medium,15
83,Support: Da’Veon,Support: Da’Veon — Lesson 11,"Learn/apply: Appointment support, grounding, fatherhood balance, joy & play.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",symptom_tracker_flask.py,Support_Me_Handbook_DaVeon.docx,Hard,20
84,Support: Da’Veon,Support: Da’Veon — Lesson 12,"Learn/apply: Appointment support, grounding, fatherhood balance, joy & play.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",sms_reminder.py,Support_Me_Handbook_DaVeon.docx,Easy,25
85,Support: Quincy,Support: Quincy — Lesson 1,"Learn/apply: Financial balance, long-distance strategies, pet rituals, protection of mental health.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",notion_sync_stub.py,Support_Me_Handbook_Quincy.docx,Medium,5
86,Support: Quincy,Support: Quincy — Lesson 2,"Learn/apply: Financial balance, long-distance strategies, pet rituals, protection of mental health.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",google_sheets_export.py,Support_Me_Handbook_Quincy.docx,Medium,10
87,Support: Quincy,Support: Quincy — Lesson 3,"Learn/apply: Financial balance, long-distance strategies, pet rituals, protection of mental health.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",progress_chart.py,Support_Me_Handbook_Quincy.docx,Hard,15
88,Support: Quincy,Support: Quincy — Lesson 4,"Learn/apply: Financial balance, long-distance strategies, pet rituals, protection of mental health.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",telegram_bot.py,Support_Me_Handbook_Quincy.docx,Easy,20
89,Support: Quincy,Support: Quincy — Lesson 5,"Learn/apply: Financial balance, long-distance strategies, pet rituals, protection of mental health.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",daily_digest.py,Support_Me_Handbook_Quincy.docx,Medium,25
90,Support: Quincy,Support: Quincy — Lesson 6,"Learn/apply: Financial balance, long-distance strategies, pet rituals, protection of mental health.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",quiz_cli.py,Support_Me_Handbook_Quincy.docx,Medium,5
91,Support: Quincy,Support: Quincy — Lesson 7,"Learn/apply: Financial balance, long-distance strategies, pet rituals, protection of mental health.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",spaced_repetition.py,Support_Me_Handbook_Quincy.docx,Hard,10
92,Support: Quincy,Support: Quincy — Lesson 8,"Learn/apply: Financial balance, long-distance strategies, pet rituals, protection of mental health.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",habit_tracker.py,Support_Me_Handbook_Quincy.docx,Easy,15
93,Support: Quincy,Support: Quincy — Lesson 9,"Learn/apply: Financial balance, long-distance strategies, pet rituals, protection of mental health.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",symptom_tracker_flask.py,Support_Me_Handbook_Quincy.docx,Medium,20
94,Support: Quincy,Support: Quincy — Lesson 10,"Learn/apply: Financial balance, long-distance strategies, pet rituals, protection of mental health.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",sms_reminder.py,Support_Me_Handbook_Quincy.docx,Medium,25
95,Support: Quincy,Support: Quincy — Lesson 11,"Learn/apply: Financial balance, long-distance strategies, pet rituals, protection of mental health.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",notion_sync_stub.py,Support_Me_Handbook_Quincy.docx,Hard,5
96,Support: Quincy,Support: Quincy — Lesson 12,"Learn/apply: Financial balance, long-distance strategies, pet rituals, protection of mental health.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",google_sheets_export.py,Support_Me_Handbook_Quincy.docx,Easy,10
97,Support: Mom,Support: Mom — Lesson 1,"Learn/apply: Gratitude, emotional balance, practical help, boundaries, shared healing.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",progress_chart.py,Support_Me_Handbook_Mom.docx,Medium,15
98,Support: Mom,Support: Mom — Lesson 2,"Learn/apply: Gratitude, emotional balance, practical help, boundaries, shared healing.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",telegram_bot.py,Support_Me_Handbook_Mom.docx,Medium,20
99,Support: Mom,Support: Mom — Lesson 3,"Learn/apply: Gratitude, emotional balance, practical help, boundaries, shared healing.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",daily_digest.py,Support_Me_Handbook_Mom.docx,Hard,25
100,Support: Mom,Support: Mom — Lesson 4,"Learn/apply: Gratitude, emotional balance, practical help, boundaries, shared healing.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",quiz_cli.py,Support_Me_Handbook_Mom.docx,Easy,5
101,Support: Mom,Support: Mom — Lesson 5,"Learn/apply: Gratitude, emotional balance, practical help, boundaries, shared healing.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",spaced_repetition.py,Support_Me_Handbook_Mom.docx,Medium,10
102,Support: Mom,Support: Mom — Lesson 6,"Learn/apply: Gratitude, emotional balance, practical help, boundaries, shared healing.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",habit_tracker.py,Support_Me_Handbook_Mom.docx,Medium,15
103,Support: Mom,Support: Mom — Lesson 7,"Learn/apply: Gratitude, emotional balance, practical help, boundaries, shared healing.","Micro-lesson + practice: role-play/script, 2-minute log, or checklist.",symptom_tracker_flask.py,Support_Me_Handbook_Mom.docx,Hard,20
